timestamp,open,high,low,close,volume
2025-02-21 19:00:00,245.1800,245.2867,245.0000,245.0300,25955
2025-02-21 18:00:00,245.2800,245.5500,233.1900,245.1800,53596
2025-02-21 17:00:00,245.3000,245.5500,245.0000,245.2000,55564
2025-02-21 16:00:00,245.5900,247.1367,245.3000,245.3000,15723056
2025-02-21 15:00:00,245.9100,246.0900,245.3300,245.5900,9671954
2025-02-21 14:00:00,247.7500,247.8700,245.6320,245.9200,5756020
2025-02-21 13:00:00,248.4500,248.4900,247.0400,247.7400,6251065
2025-02-21 12:00:00,247.0200,248.6900,246.9000,248.4300,5251304
2025-02-21 11:00:00,245.8150,247.5000,245.8150,247.0150,6574468
2025-02-21 10:00:00,245.6400,246.0100,245.2200,245.8300,3766935
2025-02-21 09:00:00,245.9400,246.9400,245.2500,245.6900,6217521
2025-02-21 08:00:00,245.6325,246.2000,244.8400,245.8900,90254
2025-02-21 07:00:00,245.4000,245.8300,245.3600,245.7500,17797
2025-02-21 06:00:00,245.3500,245.4500,245.3000,245.4000,4687
2025-02-21 05:00:00,245.4000,245.4000,245.2400,245.3100,9848
2025-02-21 04:00:00,246.0000,246.0000,245.1200,245.3600,12480
2025-02-20 19:00:00,245.6500,245.7500,245.5700,245.6000,7499
2025-02-20 18:00:00,245.6500,245.8300,245.5000,245.6900,36527
2025-02-20 17:00:00,245.7200,251.7307,234.0006,245.6700,1147732
2025-02-20 16:00:00,245.8600,245.8600,245.6000,245.7200,10284514
2025-02-20 15:00:00,245.3300,246.0000,245.2724,245.8600,4357865
2025-02-20 14:00:00,245.3300,245.7500,244.8500,245.3350,2008507
2025-02-20 13:00:00,245.3690,245.8178,245.0200,245.3506,2066070
2025-02-20 12:00:00,245.2650,246.4600,245.0300,245.3600,2819029
2025-02-20 11:00:00,245.1100,246.7000,245.0800,245.2750,5034401
2025-02-20 10:00:00,244.9000,245.3539,244.2900,245.0700,3902573
2025-02-20 09:00:00,243.7967,246.7800,243.7600,244.9000,4542419
